Method,Precursor,solvent,surfuctant,pH,reducting agent,temperature,timee,particle size,particle shape,easy
Coprecipitation,n,1,,,,500,1,7.5,,90
Coprecipitation,c,1,1,,,25,,1100,,90
Coprecipitation,s,1,1,,,350,2,12.5,1,90
Coprecipitation,n,1,,,,500,4,,1,90
Coprecipitation,c,1,,,,500,4,,2,90
Coprecipitation,s,1,1,,,50,,10.7,1,90
Coprecipitation,s,1,1,,,50,,10,1,90
Coprecipitation,s,1,1,,,75,,13.8,1,90
Coprecipitation,s,1,1,,,75,,14.1,1,90
Coprecipitation,c,1,1,,,50,,14.5,1,90
Coprecipitation,c,1,1,,,50,,12,1,90
Coprecipitation,c,1,1,,,75,,14.5,1,90
Coprecipitation,c,1,1,,,75,,13.2,1,90
Coprecipitation,a,1,2,,,500,2,34,3,90
Coprecipitation,a,1,2,,,100,5,11,,90
Coprecipitation,a,5,1,,,80,1,40,1,90
Coprecipitation,n,2,1,,,400,3,23.02,,90
Coprecipitation,a,1,3,,Extractive Rosmarinus Officinalis leaf,400,2,21.6,2,90
Coprecipitation,a,1,3,,Extractive Rosmarinus Officinalis leaf,600,2,26.6,2,90
Coprecipitation,a,1,3,,Extractive Rosmarinus Officinalis leaf,800,2,30.8,4,90
Coprecipitation,c,3,4,,,400,4,15,,90
Coprecipitation,c,3,4,,,500,4,36,,90
Coprecipitation,s,1,5,,,400,,39,2,90
Coprecipitation,s,1,6,,,400,,80,2,90
Coprecipitation,o,1,1,,,350,2,10,2,90
Coprecipitation,o,1,1,,,450,2,50,2,90
Coprecipitation,s,1,5,,,,,1011,2,90
Coprecipitation,s,5,1,,,60,,16.27,2,90
Coprecipitation,c,4,1,8,,75,1,36.21,2,90
Coprecipitation,c,4,1,10,,75,1,34.88,2,90
Coprecipitation,c,4,1,11,,75,1,51.02,5,90
Coprecipitation,c,4,1,13,,75,1,41.66,5,90
solgel,n,5,7,,EG,600,1,13,2,65
solgel,c,1,1,7,Glacial acetic,,,40,2,65
solgel,c,4,1,,,700,,1800,2,65
solgel,n,1,1,14,,100,4,41,,65
solgel,n,1,1,14,,150,4,36,,65
solgel,n,1,1,14,,200,4,30,,65
solgel,n,1,1,14,,250,4,32,,65
solgel,n,1,1,14,,300,4,27,,65
solgel,n,1,1,14,,350,4,31,,65
solgel,n,1,1,14,,400,4,41,,65
solgel,a,1,3,5.6,,400,4,135,2,65
solgel,a,1,3,7,,400,4,93,2,65
solgel,c,1,1,7,Glacial acetic aci,,,47.9,2,65
solgel,a,4,7,,EG,600,2,450,2,65
solgel,a,6,7,,EG,600,2,400,6,65
solgel,a,6,,,,500,2,100,7,65
solgel,c,1,1,,,700,1,44,,65
solgel,a,2,1,12.5,,,,4.5,2,65
solgel,n,4,,5.9,,400,2,61.25,2,65
solgel,a,7,1,,,,,9.5,8,65
solgel,a,1,1,,,,,7,2,65
solgel,a,4,1,,,,,4,2,65
solgel,a,7,8,,,300,,643.82,2,65
solgel,a,7,8,,,350,,207.732,2,65
solgel,a,7,8,,,400,,47.55,9,65
solgel,a,7,8,,,450,,772,10,65
solgel,a,7,8,,,500,,87.65,,65
solgel,n,1,1,,,160,3,37,11,65
solgel,n,1,1,,,180,3,37,11,65
solgel,n,1,1,,,300,3,52,11,65
solgel,n,1,1,,,600,3,58,11,65
solgel,n,1,1,,,900,3,91,11,65
solgel,n,1,1,,,160,24,41,11,65
solgel,n,1,1,,,160,3,34,11,65
solgel,n,1,1,,,160,3,31,11,65
solgel,n,8,7,,,500,,129,6,65
solgel,n,,,,,500,4,25,2,65
solgel,c,1,1,7,Glacial acetic acid,,,40,,65
solgel,n,5,7,,EG,600,1,13,2,65
solgel,n,1,7,7,Liquid ammonia,400,4,125,,65
solgel,n,1,7,10,Liquid ammonia,400,4,25,2,65
hydrothermal,n,,,3.37,NaOH or HNO3,425,2,,,50
hydrothermal,a,1,,,NaOH,160,12,332,11,50
hydrothermal,s,1,,,NaOH,130,4,,,50
hydrothermal,a,1,9,,NaOH,180,24,2600,5,50
hydrothermal,c,1,10,,NaOH,140,24,500,12,50
hydrothermal,n,1,,,NaOH,100,20,4000,13,50
hydrothermal,n,1,11,13,NaOH,180,2,50,14,50
hydrothermal,n,1,11,13,NaOH,180,4,100,14,50
hydrothermal,n,1,11,13,NaOH,180,12,,15,50
hydrothermal,n,1,11,13,NaOH,180,24,,15,50
hydrothermal,c,1,10,,NaOH,500,3,,2,50
hydrothermal,a,1,,,NaOH,250,3,25.71,12,50
hydrothermal,s,1,10,,NaOH/urea,120,0.08,,2,50
hydrothermal,s,1,10,,NaOH/urea,120,0.08,15,3,50
hydrothermal,s,1,10,,NaOH/urea,120,0.08,60,11,50
